Key,File,Type,UsedInMainMenu,NoTranslate,english,spanish,Context
quest_Mechanic5_desc,,,,,"With this machine the scarcity of resources is over...","Con esta máquina se acabo la escasez de recursos...",,
quest_Mechanic5_subtitle,,,,,"The Machine","La Máquina",,
quest_Soldier,,,,,"Soldier Class","Clase Soldado",,
quest_Soldier1,,,,,"Soldier Class 1/5","Clase Soldado 1/5",,
quest_Soldier1_desc,,,,,"Killing zombies using different weapons in specific order: \n\nBare hands     -     Wooden Club \nBone Knife     -     Stone Spear \nStone Sledgehammer","Acaba con varios zombis usando diferentes armas, pero siguiendo un orden concreto: \n\nManos desnudas     -     Garrote de madera \nCuchillo de hueso     -     Lanza de piedra \nMazo de piedra",,
quest_Soldier1_subtitle,,,,,"Rookie (Mission Tip)","Recluta (Nota en Misiones)",,
quest_Soldier2,,,,,"Soldier Class 2/5","Clase Soldado 2/5",,
quest_Soldier2_desc,,,,,"Killing zombies using different weapons in specific order: \n\nPipe Revolver     -     Pipe Shotgun \nPipe Rifle     -     Pipe Machine Gun","Acaba con varios zombis usando diferentes armas, pero siguiendo un orden concreto: \n\nRevolver de tubo     -     Escopeta de tubo \nRifle de tubo     -     Metralleta de tubo",,
quest_Soldier2_subtitle,,,,,"Enlisted Man (Mission Tip)","Soldado Raso (Nota en Misiones)",,
quest_Soldier3,,,,,"Soldier Class 3/5","Clase Soldado 3/5",,
quest_Soldier3_desc,,,,,"Killing zombies using different weapons in specific order: \n\nRevolver     -     Pump Shotgun \nHunting Rifle     -     AK 47","Acaba con varios zombis usando diferentes armas, pero siguiendo un orden concreto: \n\nRevolver     -     Escopeta de bombeo \nRifle de caza     -     AK 47",,
quest_Soldier3_subtitle,,,,,"Sergeant (Mission Tip)","Sargento (Nota en Misiones)",,
quest_Soldier4,,,,,"Soldier Class 4/5","Clase Soldado 4/5",,
quest_Soldier4_desc,,,,,"Killing zombies using different weapons in specific order: \n\nPipe Bomb     -     Grenade \nContact Grenade     -     Timed Charge","Acaba con varios zombis usando diferentes armas, pero siguiendo un orden concreto: \n\nBomba de tubo     -     Granada \nGranada de contacto     -     Carga con temporizador",,
quest_Soldier4_subtitle,,,,,"Veteran (Mission Tip)","Veterano (Nota en Misiones)",,
quest_Soldier5,,,,,"Soldier Class 5/5","Clase Soldado 5/5",,
quest_Soldier5_desc,,,,,"Kill special zombies and hit the jackpot.","Acaba con zombis especiales y llevate el premio gordo.",,
quest_Soldier5_subtitle,,,,,"Green Beret (Mission Tip)","Boina Verde",,
quest_Final,,,,,"Final Mission","Misión Final",,
quest_Final_desc,,,,,"Collect all class trophies to complete Tongomod.","Reúne todos los trofeos de clase para completar Tongomod.",,
quest_Final_subtitle,,,,,"Final Mission","Misión Final",,
quest_Final_description_title,,,,,"Tongomod Completed","Tongomod Completado",,
quest_Final_description,,,,,"This quest completes Tongomod. If there was an ending scene it would be here. Maybe in the future that feature can be included. \n\nThank you for playing, and I hope you've enjoyed Tongomod, see you in the next version.....if it ever comes.....","Con esta misión se completa Tongomod. Si hubiera una escena de finalización estaría aquí. Quizá en el futuro se pueda incluir esa característica. \n\nGracias por jugar, y espero que hayas disfrutado de Tongomod, nos veremos en la próxima versión.....si es que llega algun dia..... ",,
itemTrophySurvivalistTM,,,,,"Survivalist Trophy","Trofeo de Superviviente",,
itemTrophySurvivalistTMDesc,,,,,"Survivalist Trophy. Collect all class trophies to complete Tongomod.","Trofeo de la clase Superviviente. Reúne todos los trofeos de clase para completar Tongomod.",,
itemTrophyBuilderTM,,,,,"Builder Trophy","Trofeo de Constructor",,
itemTrophyBuilderTMDesc,,,,,"Builder Trophy. Collect all class trophies to complete Tongomod.","Trofeo de la clase Constructor. Reúne todos los trofeos de clase para completar Tongomod.",,
itemTrophyFarmerTM,,,,,"Farmer Trophy","Trofeo de Granjero",,
itemTrophyFarmerTMDesc,,,,,"Farmer Trophy. Collect all class trophies to complete Tongomod.","Trofeo de la clase Granjero. Reúne todos los trofeos de clase para completar Tongomod.",,
itemTrophyChefTM,,,,,"Chef Trophy","Trofeo de Chef",,
itemTrophyChefTMDesc,,,,,"Chef Trophy. Collect all class trophies to complete Tongomod.","Trofeo de la clase Chef. Reúne todos los trofeos de clase para completar Tongomod.",,
itemTrophyHunterTM,,,,,"Hunter Trophy","Trofeo de Cazador",,
itemTrophyHunterTMDesc,,,,,"Hunter Trophy. Collect all class trophies to complete Tongomod.","Trofeo de la clase Cazador. Reúne todos los trofeos de clase para completar Tongomod.",,
itemTrophyMedicTM,,,,,"Medic Trophy","Trofeo de Médico",,
itemTrophyMedicTMDesc,,,,,"Medic Trophy. Collect all class trophies to complete Tongomod.","Trofeo de la clase Médico. Reúne todos los trofeos de clase para completar Tongomod.",,
itemTrophyMechanicTM,,,,,"Mechanic Trophy","Trofeo de Mecanico",,
itemTrophyMechanicTMDesc,,,,,"Mechanic Trophy. Collect all class trophies to complete Tongomod.","Trofeo de la clase Mecanico. Reúne todos los trofeos de clase para completar Tongomod.",,
itemTrophySoldierTM,,,,,"Soldier Trophy","Trofeo de Soldado",,
itemTrophySoldierTMDesc,,,,,"Soldier Trophy. Collect all class trophies to complete Tongomod.","Trofeo de la clase Soldado. Reúne todos los trofeos de clase para completar Tongomod.",,
lblContextActionMakina,,,,,"Recipe Machine","Máquina de Recetas",,
workingMakinaTip_title,,,,,"Recipe Machine","Máquina de Recetas",,
workingMakinaTip,,,,,"Make any recipe available thanks to the blue papers.","Fabrica cualquier receta disponible gracias a los papeles azules.",,
lblContextActionLibros,,,,,"Books Machine",Máquina de Libros,,
workingLibrosTip_title,,,,,"Books Machine",Máquina de Libros,,
workingLibrosTip,,,,,"Is a book missing from your collection? Try to make it here with the blue papers.","¿Falta algun libro en tu colección?, prueba a fabricarlo aquí con los papeles azules.",,
lblContextActionDysmantle,,,,,"Ensamble/Dismantle Machine","Máquina Montadora/Desmontadora",,
workingDysmantleTip_title,,,,,"Ensamble/Dismantle Machine","Máquina Montadora/Desmontadora",,
workingDysmantleTip,,,,,"Dismantle ammo and craft special items.","Desmonta munición y crea objetos especiales.",,
lblContextActionSeeds,,,,,"Seed Machine","Máquina de Semillas",,
workingSemillasTip_title,,,,,"Seed Machine","Máquina de Semillas",,
workingSemillasTip,,,,,"Obtain 1 seed for each available fruit..","Obtén 1 semilla por cada fruto disponible.",,
lblContextActionOven,,,,,"Advanced Oven","Horno Avanzado",,
workingOvenTip_title,,,,,"Advanced Oven","Horno Avanzado",,
workingOvenTip,,,,,"Oven for cooking special recipes","Horno para cocinar recetas especiales.",,
lblContextActionAutominerT0,,,,,"Basic Autominer","Autominado Básico",,
autoMinerT0Tip_title,,,,,"Basic Autominer","Autominado Básico",,
autoMinerT0Tip,,,,,"Automatic Machine to get Resources.","Máquina automática para obtener recursos.",,
lblContextActionAutominerADV,,,,,"Advanced Autominer","Autominado Avanzado",,
autoMinerADVTip_title,,,,,"Advanced Autominer","Autominado Avanzado",,
autoMinerADVTip,,,,,"Advanced machine to get all kinds of mineral resources.","Máquina avanzada para obtener todo tipo de recursos minerales.",,
drugCatTM,,,,,"Hunter's Combine","Combinado de Cazador",,
drugCatTMDesc,,,,,"Combination to improve Hunter skills.","Combinación para mejorar las habilidades de Cazador.",,
drugDogTM,,,,,"Combined Force","Combinado de Fuerza",,
drugDogTMDesc,,,,,"Combination to improve Fighter skills.","Combinación para mejorar las habilidades de Luchador.",,



