Key,File,Type,UsedInMainMenu,NoTranslate,english,spanish,Context
quest_Mechanic,,,,,"Mechanic Class","Clase Mecanico",,
quest_Mechanic1,,,,,"Mechanical Class 1/5","Clase Mecanico 1/5",,
quest_Mechanic1_desc,,,,,"Collect basics to get started.","Reúne los elementos básicos para empezar a trabajar.",,
quest_Mechanic1_subtitle,,,,,"Handyman","El Manitas",,
quest_Mechanic2,,,,,"Mechanical Class 2/5","Clase Mecanico 2/5",,
quest_Mechanic2_desc,,,,,"It may look like a toy, but it will take us where we need to go.","Puede parecer de juguete, pero nos llevará allá donde necesitemos ir.",,
quest_Mechanic2_subtitle,,,,,"To Motorize","A Motorizarse",,
quest_Mechanic3,,,,,"Mechanical Class 3/5","Clase Mecanico 3/5",,
quest_Mechanic3_desc,,,,,"Gather many mechanical resources to build different things.","Reúne muchos recursos mecanicos para contruir diferentes cosas.",,
quest_Mechanic3_subtitle,,,,,"I need more","Necesito Más",,
quest_Mechanic4,,,,,"Mechanical Class 4/5","Clase Mecanico 4/5",,
quest_Mechanic4_desc,,,,,"Let's go for those mechanized tools that we need so much.","Vamos a por esas herramientas mecanizadas que tanto necesitamos.",,
quest_Mechanic4_subtitle,,,,,"Mechanical Tools","Herramientas Mecanicas",,
quest_Mechanic5,,,,,"Mechanical Class 5/5","Clase Mecanico 5/5",,
quest_Mechanic5_desc,,,,,"With this machine the scarcity of resources is over...","Con esta máquina se acabo la escasez de recursos...",,
quest_Mechanic5_subtitle,,,,,"The Machine","La Máquina",,
quest_Soldier,,,,,"Soldier Class","Clase Soldado",,
quest_Soldier1,,,,,"Soldier Class 1/5","Clase Soldado 1/5",,
quest_Soldier1_desc,,,,,"Killing zombies using different weapons in specific order: \n\n1º-Bare hands     -     2º-Wooden Club \n3º-Bone Knife     -     4º-Stone Spear \n5º-Stone Sledgehammer","Acaba con varios zombis usando diferentes armas, pero siguiendo un orden concreto: \n\n1º-Manos desnudas     -     2º-Garrote de madera \n3º-Cuchillo de hueso     -     4º-Lanza de piedra \n5º-Mazo de piedra",,
quest_Soldier1_subtitle,,,,,"Rookie (Mission Tip)","Recluta (Nota en Misiones)",,
quest_Soldier2,,,,,"Soldier Class 2/5","Clase Soldado 2/5",,
quest_Soldier2_desc,,,,,"Killing zombies using different weapons in specific order: \n\n1º-Pipe Revolver     -     2º-Pipe Shotgun \n3º-Pipe Rifle     -     4º-Pipe Machine Gun","Acaba con varios zombis usando diferentes armas, pero siguiendo un orden concreto: \n\n1º-Revolver de tuberia     -     2º-Escopeta de tuberia \n3º-Rifle de tuberia     -     4º-Metralleta de tuberia",,
quest_Soldier2_subtitle,,,,,"Enlisted Man (Mission Tip)","Soldado Raso (Nota en Misiones)",,
quest_Soldier3,,,,,"Soldier Class 3/5","Clase Soldado 3/5",,
quest_Soldier3_desc,,,,,"Killing zombies using different weapons in specific order: \n\n1º-Revolver     -     2º-Pump Shotgun \n3º-Hunting Rifle     -     4º-AK 47","Acaba con varios zombis usando diferentes armas, pero siguiendo un orden concreto: \n\n1º-Revolver     -     2º-Escopeta de bombeo \n3º-Rifle de caza     -     4º-AK 47",,
quest_Soldier3_subtitle,,,,,"Sergeant (Mission Tip)","Sargento (Nota en Misiones)",,
quest_Soldier4,,,,,"Soldier Class 4/5","Clase Soldado 4/5",,
quest_Soldier4_desc,,,,,"Killing zombies using different weapons in specific order: \n\n1º-Pipe Bomb     -     2º-Grenade \n3º-Contact Grenade     -     4º-Timed Charge","Acaba con varios zombis usando diferentes armas, pero siguiendo un orden concreto: \n\n1º-Bomba de tubo     -     2º-Granada \n3º-Granada de contacto     -     4º-Carga con temporizador",,
quest_Soldier4_subtitle,,,,,"Veteran (Mission Tip)","Veterano (Nota en Misiones)",,
quest_Soldier5,,,,,"Soldier Class 5/5","Clase Soldado 5/5",,
quest_Soldier5_desc,,,,,"Kill special zombies and hit the jackpot.","Acaba con zombis especiales y llevate el premio gordo.",,
quest_Soldier5_subtitle,,,,,"Green Beret (Mission Tip)","Boina Verde",,
quest_Final,,,,,"Final Mission","Misión Final",,
quest_Final_desc,,,,,"Collect all class trophies to complete Tongomod.","Reúne todos los trofeos de clase para completar Tongomod.",,
quest_Final_subtitle,,,,,"Final Mission","Misión Final",,
quest_Final_description_title,,,,,"Tongomod Completed","Tongomod Completado",,
quest_Final_description,,,,,"This quest completes Tongomod. If there was an ending scene it would be here. Maybe in the future that feature can be included. \n\nThank you for playing, and I hope you've enjoyed Tongomod, see you in the next version.....if it ever comes.....","Con esta misión se completa Tongomod. Si hubiera una escena de finalización estaría aquí. Quizá en el futuro se pueda incluir esa característica. \n\nGracias por jugar, y espero que hayas disfrutado de Tongomod, nos veremos en la próxima versión.....si es que llega algun dia..... ",,
itemTrophySurvivalistTM,,,,,"Survivalist Trophy","Trofeo de Superviviente",,
itemTrophySurvivalistTMDesc,,,,,"Survivalist Trophy. Collect all class trophies to complete Tongomod.","Trofeo de la clase Superviviente. Reúne todos los trofeos de clase para completar Tongomod.",,
itemTrophyBuilderTM,,,,,"Builder Trophy","Trofeo de Constructor",,
itemTrophyBuilderTMDesc,,,,,"Builder Trophy. Collect all class trophies to complete Tongomod.","Trofeo de la clase Constructor. Reúne todos los trofeos de clase para completar Tongomod.",,
itemTrophyFarmerTM,,,,,"Farmer Trophy","Trofeo de Granjero",,
itemTrophyFarmerTMDesc,,,,,"Farmer Trophy. Collect all class trophies to complete Tongomod.","Trofeo de la clase Granjero. Reúne todos los trofeos de clase para completar Tongomod.",,
itemTrophyChefTM,,,,,"Chef Trophy","Trofeo de Chef",,
itemTrophyChefTMDesc,,,,,"Chef Trophy. Collect all class trophies to complete Tongomod.","Trofeo de la clase Chef. Reúne todos los trofeos de clase para completar Tongomod.",,
itemTrophyHunterTM,,,,,"Hunter Trophy","Trofeo de Cazador",,
itemTrophyHunterTMDesc,,,,,"Hunter Trophy. Collect all class trophies to complete Tongomod.","Trofeo de la clase Cazador. Reúne todos los trofeos de clase para completar Tongomod.",,
itemTrophyMedicTM,,,,,"Medic Trophy","Trofeo de Médico",,
itemTrophyMedicTMDesc,,,,,"Medic Trophy. Collect all class trophies to complete Tongomod.","Trofeo de la clase Médico. Reúne todos los trofeos de clase para completar Tongomod.",,
itemTrophyMechanicTM,,,,,"Mechanic Trophy","Trofeo de Mecanico",,
itemTrophyMechanicTMDesc,,,,,"Mechanic Trophy. Collect all class trophies to complete Tongomod.","Trofeo de la clase Mecanico. Reúne todos los trofeos de clase para completar Tongomod.",,
itemTrophySoldierTM,,,,,"Soldier Trophy","Trofeo de Soldado",,
itemTrophySoldierTMDesc,,,,,"Soldier Trophy. Collect all class trophies to complete Tongomod.","Trofeo de la clase Soldado. Reúne todos los trofeos de clase para completar Tongomod.",,
lblContextActionMakina,,,,,"Recipe Machine","Máquina de Recetas",,
workingMakinaTip_title,,,,,"Recipe Machine","Máquina de Recetas",,
workingMakinaTip,,,,,"Make any recipe available thanks to the blue papers.","Fabrica cualquier receta disponible gracias a los papeles azules.",,
lblContextActionLibros,,,,,"Books Machine",Máquina de Libros,,
workingLibrosTip_title,,,,,"Books Machine",Máquina de Libros,,
workingLibrosTip,,,,,"Is a book missing from your collection? Try to make it here with the blue papers.","¿Falta algun libro en tu colección?, prueba a fabricarlo aquí con los papeles azules.",,
lblContextActionDysmantle,,,,,"Ensamble/Dismantle Machine","Máquina Montadora/Desmontadora",,
workingDysmantleTip_title,,,,,"Ensamble/Dismantle Machine","Máquina Montadora/Desmontadora",,
workingDysmantleTip,,,,,"Dismantle ammo and craft special items.","Desmonta munición y crea objetos especiales.",,
lblContextActionSeeds,,,,,"Seed Machine","Máquina de Semillas",,
workingSemillasTip_title,,,,,"Seed Machine","Máquina de Semillas",,
workingSemillasTip,,,,,"Obtain 1 seed for each available fruit..","Obtén 1 semilla por cada fruto disponible.",,
lblContextActionOven,,,,,"Advanced Oven","Horno Avanzado",,
workingOvenTip_title,,,,,"Advanced Oven","Horno Avanzado",,
workingOvenTip,,,,,"Oven for cooking special recipes","Horno para cocinar recetas especiales.",,
lblContextActionAutominerT0,,,,,"Basic Autominer","Autominado Básico",,
autoMinerT0Tip_title,,,,,"Basic Autominer","Autominado Básico",,
autoMinerT0Tip,,,,,"Automatic Machine to get Resources.","Máquina automática para obtener recursos.",,
lblContextActionAutominerADV,,,,,"Advanced Autominer","Autominado Avanzado",,
autoMinerADVTip_title,,,,,"Advanced Autominer","Autominado Avanzado",,
autoMinerADVTip,,,,,"Advanced machine to get all kinds of mineral resources.","Máquina avanzada para obtener todo tipo de recursos minerales.",,
lblContextActionworkingOchemi,,,,,"Science Machine","Maquina de Ciencia",,
workingOchemiTip_title,,,,,"Science Machine","Maquina de Ciencia",,
workingOchemiTip,,,,,"Science machine to craft advanced items.","Mesa de ciencia para fabricar objetos avanzados.",,
drugCatTM,,,,,"Hunter's Combine","Combinado de Cazador",,
drugCatTMDesc,,,,,"Combination to improve Hunter skills.","Combinación para mejorar las habilidades de Cazador.",,
drugDogTM,,,,,"Combined Force","Combinado de Fuerza",,
drugDogTMDesc,,,,,"Combination to improve Fighter skills.","Combinación para mejorar las habilidades de Luchador.",,
meleeToolMegaBreakerTM,,,,,"Mega Breaker","Mega Rompedora",,
meleeToolMegaBreakerTMDesc,,,,,"Use this to destroy block very quickly.","Usalo para romper bloques rapidamente.",,
meleeToolMegaBreakerTMSchematic,,,,,"Tool Mega Breaker Schematic","Esquema de Mega Herramienta Rompedora",,
lblLibrosT0WorkingLibros,,,,,"Books Crafting Tier 0","Crafteo de Libros Tier 0",,
lblLibrosT1WorkingLibros,,,,,"Books Crafting Tier 1","Crafteo de Libros Tier 1",,
lblLibrosT2WorkingLibros,,,,,"Books Crafting Tier 2","Crafteo de Libros Tier 2",,
lblOcanOven,,,,,"Can Food Crafting","Crafteo de Latas de Comida",,
lblOsnackOven,,,,,"Snacks Crafting","Crafteo de Chuches",,
lblOaquaOven,,,,,"Beverages Crafting","Crafteo de Bebidas",,
meleeToolMegaAugerTM,,,,,"Mega Auger","Mega Taladro",,
meleeToolMegaAugerTMDesc,,,,,"Advanced auger to harvest minerals quickly.","Taladro avanzado para conseguir minerales rapidamente.",,
meleeToolMegaAugerTMSchematic,,,,,"Mega Auger Schematic","Esquema de Mega Taladro",,
meleeToolMegaChainsawTM,,,,,"Mega Chainsaw","Mega Motosierra",,
meleeToolMegaChainsawTMDesc,,,,,"Advanced auger to harvest wood, more wood, don't stop me now...","Motosierra avanzada para conseguir madera, mas madera...",,
meleeToolMegaChainsawTMSchematic,,,,,"Mega Chainsaw Schematic","Esquema de Mega Motosierra",,
meleeToolRepairMegaNailgunTM,,,,,"Mega Nailgun","Mega Pistola de Clavos",,
meleeToolRepairMegaNailgunTMDesc,,,,,"Advanced Nailgun for build and repair quickly.","Pistola de clavos avanzada para construir y reparar rapidamente.",,
meleeToolRepairMegaNailgunTMSchematic,,,,,"Mega Nailgun Schematic","Esquema de Mega Pistola de Clavos",,
medicalFirstAidBandageTM,,,,,"Advanced First Aid Bandage","Vendaje Curativo Avanzado",,
medicalFirstAidBandageTMDesc,,,,,"Advanced first aid bandage, quick little health, and short regen.","Vendaje de curación avanzado, realiza una pequeña cura rapida, y regenera durante un corto periodo de tiempo.",,
medicalFirstAidBandageTMSchematic,,,,,"Advanced First Aid Bandage Schematic","Esquema Vendaje Curativo Avanzado",,
medicalFirstAidKitTM,,,,,"Advanced First Aid Kit","Botiquín Avanzado",,
medicalFirstAidKitTMDesc,,,,,"Advanced first aid kit, quick great health, and short regen.","Botiquín de curación avanzado, realiza una gran cura rapida, y regenera durante un periodo de tiempo.",,
medicalFirstAidKitTMSchematic,,,,,"Advanced First Aid Kit Schematic","Esquema Botiquín Avanzado",,
workingOchemi,,,,,"Science Machine","Maquina de Ciencia",,
workingOchemiDesc,,,,,"Science machine to craft advanced items.","Mesa de ciencia para fabricar objetos avanzados.",,
resourceGraphite,,,,,"Graphite","Grafito",,
resourceGraphiteDesc,,,,,"Simple mineral that is used to make pencils, but properly processed, it can become one of the most prodigious materials, graphene.","Sencillo mineral que se utiliza para fabricar los lapizes, pero que procesado adecuadamente, se puede convertir en uno de los materiales mas prodigiosos, el grafeno.",,
resourceGrapheneTM,,,,,"Graphene","Grafeno",,
resourceGrapheneTMDesc,,,,,"One of the most prodigious materials that exist. Hard, light, flexible, superconductive, practically anything.","Uno de los materiales mas prodigiosos que existen. Duro, ligero, flexible, superconductor, practicamente sirve para cualquier cosa.",,
lblOchemiMedical,,,,,"Advanced Medical","Medicinas Avanzadas",,
lblOchemiQuimics,,,,,"Advanced Quimics","Quimica Avanzada",,
ammoBox9mmBulletExtTM,,,,,"9 mm Bullet Resources X 100","Componentes de Bala 9 mm X 100",,
ammoBox9mmBulletHPExtTM,,,,,"9 mm HP Bullet Resources X 100","Componentes de Bala 9 mm HP X 100",,
ammoBox9mmBulletAPExtTM,,,,,"9 mm AP Bullet Resources X 100","Componentes de Bala 9 mm AP X 100",,
ammoBoxShotgunShellExtTM,,,,,"Shotgun Shell Resources X 100","Componentes de Cartuchos X 100",,
ammoBoxShotgunBreachingSlugExtTM,,,,,"Shotgun Breaching Slug Resources X 100","Componentes de Cartuchos Rompedores X 100",,
ammoBoxShotgunSlugExtTM,,,,,"Shotgun Slug Resources X 100","Componentes de Cartuchos Slug X 100",,
ammoBox762mmBulletBallExtTM,,,,,"7.62 mm Bullet Resources X 100","Componentes de Bala 7.62 mm X 100",,
ammoBox762mmBulletHPExtTM,,,,,"7.62 mm HP Bullet Resources X 100","Componentes de Bala 7.62 mm HP X 100",,
ammoBox762mmBulletAPExtTM,,,,,"7.62 mm AP Bullet Resources X 100","Componentes de Bala 7.62 mm AP X 100",,
ammoBox44MagnumBulletBallExtTM,,,,,"9 mm Bullet Resources X 100","Componentes de Bala .44 mm X 100",,
ammoBox44MagnumBulletHPExtTM,,,,,"9 mm HP Bullet Resources X 100","Componentes de Bala .44 mm HP X 100",,
ammoBox44MagnumBulletAPExtTM,,,,,"9 mm AP Bullet Resources X 100","Componentes de Bala .44 mm AP X 100",,
ammoBoxArrowFlamingExtTM,,,,,"Flame Arrow Resources X 100","Componentes de Flecha Incendiaria X 100",,
ammoBoxArrowExplodingExtTM,,,,,"Explosive Arrow Resources X 100","Componentes de Flecha Explosiva X 100",,
ammoBoxCrossbowBoltFlamingExtTM,,,,,"Flame Bolt Resources X 100","Componentes de Virote Incendiario X 100",,
ammoBoxCrossbowBoltExplodingExtTM,,,,,"Explosive Bolt Resources X 100","Componentes de Virote Explosivo X 100",,
ammoBoxRocketFragExtTM,,,,,"Rocket Resources X 100","Componentes de Copete X 100",,
ammoBoxRocketHEExtTM,,,,,"Rocket HE Resources X 100","Componentes de Copete HE X 100",,
thrownBoxAmmoPipeBombExtTM,,,,,"Pipe Bomb Resources X 100","Componentes de de Bomba de Tubo X 100",,
thrownBoxDynamiteExtTM,,,,,"Dynamite Resources X 100","Componentes de Dinamita X 100",,
thrownBoxGrenadeExtTM,,,,,"Grenade Resources X 100","Componentes de Granada X 100",,
thrownBoxGrenadeContactExtTM,,,,,"Contact Grenade Resources X 100","Componentes de Granada de Contacto X 100",,
thrownBoxTimedChargeExtTM,,,,,"Time Charge Resources X 100","Componentes de Carga con Temporizador X 100",,
lblSemillaMK_Semillas,,,,,"Seeds Crafting","Crafteo de Semillas",,
lblKK_CompostMK_semillas,,,,,"Compost Crafting","Crafteo de Composta",,
resourcePellets,,,,,"Pellets","Pellets",,
resourceCompost,,,,,"Compost","Composta",,
resourcePelletsDesc,,,,,"Wood-based fuel, which due to its configuration of materials and their compaction, allows it to burn for a long time.","Combustible con base de madera, el cual debido a su configuración de materiales y la compactación de los mismos, le permite arder durante largos periodos de tiempo.",,
resourceCompostDesc,,,,,"Prepared based on organic waste, which is usually used as a fertilizer, or element in different recipes.","Preparado a base de residuos orgánicos, que suele usarse como fertilizante, o elemento en diferentes recetas.",,
lblOchemOven,,,,,"Chemistry resources","Recursos de Química",,
grapheneShapes:VariantHelper,,,,,"Graphene Block","Bloque de Grafeno",,
toolBeakerTMSchematic,,,,,"Beaker Schematic","Receta de Matraz",,
medicalAlcoholTMSchematic,,,,,"Alcohol Schematic","Receta de Alcohol",,
resourceBiomassTMSchematic,,,,,"Biomass Schematic","Receta de Biomasa",,
resourceBioFuelTMSchematic,,,,,"Bio Fuel Schematic","Receta de Bio Fuel",,
resourceCompostSchematic,,,,,"Compost Schematic","Receta de Composta",,
resourceGrapheneTMSchematic,,,,,"Graphene Schematic","Receta de Grafeno",,
workingLibrosSchematic,,,,,"Books Machine Schematic","Esquema de Máquina de Libros",,
workingDysmantleSchematic,,,,,"Ensamble/Dismantle Machine Schematic","Esquema de Máquina Montadora/Desmontadora",,
workingSemillasSchematic,,,,,"Seed Machine Schematic","Esquema Máquina de Semillas",,
workingOvenSchematic,,,,,"Advanced Oven Schematic","Esquema de Horno Avanzado",,
workingOchemiSchematic,,,,,"Science Machine Schematic","Esquema de Máquina de Ciencia",,
workingAutominerT0Schematic,,,,,"Basic Autominer Schematic","Esquema de Autominado Básico",,
meleeToolSalvageMegaImpactDriverTM,,,,,"Mega Impact Driver","Mega Atornilladora",,
meleeToolSalvageMegaImpactDriverTMDesc,,,,,"Advanced Impact Driver to harvest cars and machines quickly.","Atornilladora avanzada para desmontar coches y maquinas rapidamente.",,
meleeToolSalvageMegaImpactDriverTMSchematic,,,,,"Mega Impact Driver Schematic","Esquema de Mega Atornilladora",,
meleeWpnMegaCutterTM,,,,,"Mega Cutter","Mega Cortadora",,
meleeWpnMegaCutterTMDesc,,,,,"Use it to quickly obtain bones and meat from animals and corpses..","Usala para obtener huesos y carne rapidamente de animales y cadaveres.",,
meleeWpnMegaCutterTMSchematic,,,,,"Tool Mega Cutter Schematic","Esquema de Mega Herramienta Cortadora",,
attTongoName,,,,,"Tongo Skill Points","Puntos de Habilidad Tongo",,
attTongoDesc,,,,,"Increase Tongo Skill Points to unlock all perks in game.","Aumenta los puntos de habilidad Tongo para desbloquear todas las habilidades del juego.",,
attTongo,,,,,"Tongo","Tongo",,
reqTongoLevel01,,,,,"Tongo Level 1","Nivel de Tongo 1",,
reqTongoLevel02,,,,,"Tongo Level 2","Nivel de Tongo 2",,
reqTongoLevel03,,,,,"Tongo Level 3","Nivel de Tongo 3",,
reqTongoLevel04,,,,,"Tongo Level 4","Nivel de Tongo 4",,
reqTongoLevel05,,,,,"Tongo Level 5","Nivel de Tongo 5",,
reqTongoLevel06,,,,,"Tongo Level 6","Nivel de Tongo 6",,
reqTongoLevel07,,,,,"Tongo Level 7","Nivel de Tongo 7",,
reqTongoLevel08,,,,,"Tongo Level 8","Nivel de Tongo 8",,
reqTongoLevel09,,,,,"Tongo Level 9","Nivel de Tongo 9",,
reqTongoLevel10,,,,,"Tongo Level 10","Nivel de Tongo 10",,
reqTongoLevel11,,,,,"Tongo Level 11","Nivel de Tongo 11",,
reqTongoLevel12,,,,,"Tongo Level 12","Nivel de Tongo 12",,
reqTongoLevel13,,,,,"Tongo Level 13","Nivel de Tongo 13",,
reqTongoLevel14,,,,,"Tongo Level 14","Nivel de Tongo 14",,
reqTongoLevel15,,,,,"Tongo Level 15","Nivel de Tongo 15",,
reqTongoLevel16,,,,,"Tongo Level 16","Nivel de Tongo 16",,
reqTongoLevel17,,,,,"Tongo Level 17","Nivel de Tongo 17",,
reqTongoLevel18,,,,,"Tongo Level 18","Nivel de Tongo 18",,
reqTongoLevel19,,,,,"Tongo Level 19","Nivel de Tongo 19",,
reqTongoLevel20,,,,,"Tongo Level 20","Nivel de Tongo 20",,
reqTongoLevel21,,,,,"Tongo Level 21","Nivel de Tongo 21",,
reqTongoLevel22,,,,,"Tongo Level 22","Nivel de Tongo 22",,
reqTongoLevel23,,,,,"Tongo Level 23","Nivel de Tongo 23",,
reqTongoLevel24,,,,,"Tongo Level 24","Nivel de Tongo 24",,
reqTongoLevel25,,,,,"Tongo Level 25","Nivel de Tongo 25",,
reqTongoLevel26,,,,,"Tongo Level 26","Nivel de Tongo 26",,
reqTongoLevel27,,,,,"Tongo Level 27","Nivel de Tongo 27",,
reqTongoLevel28,,,,,"Tongo Level 28","Nivel de Tongo 28",,
reqTongoLevel29,,,,,"Tongo Level 29","Nivel de Tongo 29",,
reqTongoLevel30,,,,,"Tongo Level 30","Nivel de Tongo 30",,
reqTongoLevel31,,,,,"Tongo Level 31","Nivel de Tongo 31",,
reqTongoLevel32,,,,,"Tongo Level 32","Nivel de Tongo 32",,
reqTongoLevel33,,,,,"Tongo Level 33","Nivel de Tongo 33",,
reqTongoLevel34,,,,,"Tongo Level 34","Nivel de Tongo 34",,
reqTongoLevel35,,,,,"Tongo Level 35","Nivel de Tongo 35",,
reqTongoLevel36,,,,,"Tongo Level 36","Nivel de Tongo 36",,
reqTongoLevel37,,,,,"Tongo Level 37","Nivel de Tongo 37",,
reqTongoLevel38,,,,,"Tongo Level 38","Nivel de Tongo 38",,
reqTongoLevel39,,,,,"Tongo Level 39","Nivel de Tongo 39",,
reqTongoLevel40,,,,,"Tongo Level 40","Nivel de Tongo 40",,
reqTongoLevel41,,,,,"Tongo Level 41","Nivel de Tongo 41",,
reqTongoLevel42,,,,,"Tongo Level 42","Nivel de Tongo 42",,
reqTongoLevel43,,,,,"Tongo Level 43","Nivel de Tongo 43",,
reqTongoLevel44,,,,,"Tongo Level 44","Nivel de Tongo 44",,
reqTongoLevel45,,,,,"Tongo Level 45","Nivel de Tongo 45",,
reqTongoLevel46,,,,,"Tongo Level 46","Nivel de Tongo 46",,
reqTongoLevel47,,,,,"Tongo Level 47","Nivel de Tongo 47",,
reqTongoLevel48,,,,,"Tongo Level 48","Nivel de Tongo 48",,
reqTongoLevel49,,,,,"Tongo Level 49","Nivel de Tongo 49",,
reqTongoLevel50,,,,,"Tongo Level 50","Nivel de Tongo 50",,
perkDeadEyeRank1LongDesc,,,,,"Craft quality 2 rifles. Deal 10% more damage, aim 10% faster, reload 15% faster using rifles.","Crea rifles de calidad 2. Inflige un 10% mas de daño, apunta un 10% mas rápido, recarga un 15% mas rápido usando rifles.",,
perkDeadEyeRank5LongDesc,,,,,"Craft quality 6 rifles. Deal 50% more damage, aim 60% faster, reload 35% faster using rifles. \nKillstreak: Successive kills increase bonus damage by 30%, 40% up to a maximum of 50%.","Crea rifles de calidad 6. Infinge un 50% mas de daño, apunta un 60% mas rapido, recarga un 35% mas rapido usando rifles. \nRacha de muertes: Las muertes sucesivas aumentan la bonificación por daños en un 30%, 40% hasta un maximo de 50%.",,
perkDemolitionsExpertRank1LongDesc,,,,,"Increase damage 10%, reload speed 15%, aim 10% faster, 50% chance to stun enemies and  a 5% greater chance to dismember.","Aumenta el daño en un 10%, la velocidad de recarga en un 15%, apunta un 10% más rápido, obtienes 50% más de posibilidades de aturdir a los enemigos y 5% más de posibilidades de desmembrar.",,
perkDemolitionsExpertRank2LongDesc,,,,,"Increase damage by 20%, reload speed 20%, aim 20% faster, 100% chance to stun enemies, and a 10% greater chance to dismember.","Aumenta el daño en un 20%, la velocidad de recarga en un 20%, apunta un 20% más rápido, obtienes 100% más de posibilidades de aturdir a los enemigos y 10% más de posibilidades de desmembrar.",,
perkDemolitionsExpertRank3LongDesc,,,,,"Increase damage 30%, increase reload speed by 25%, aim 30% faster, have a 33% chance to cripple enemies and a 20% greater chance to dismember.","Aumenta el daño en un 30%, la velocidad de recarga en un 25%, apunta un 30% más rápido, obtienes 33% más de posibilidades de paralizar a los enemigos y 20% más de posibilidades de desmembrar.",,
perkDemolitionsExpertRank4LongDesc,,,,,"Increase damage 40%, reload speed by 30%, aim 40% faster, have a 66% chance to cripple enemies and a 30% greater chance to dismember.","Aumenta el daño en un 40%, la velocidad de recarga en un 30%, apunta un 40% más rápido, obtienes 66% más de posibilidades de paralizar a los enemigos y 30% más de posibilidades de desmembrar.",,
perkDemolitionsExpertRank5LongDesc,,,,,"Increase damage 50%, reload speed by 35%, aim 50% faster and a 45% greater chance to dismember. Stun lasts longer on enemies.","Aumenta el daño en un 50%, la velocidad de recarga en un 35%, apunta un 50% más rápido, obtienes 45% más de posibilidades de desmembrar.",,
perkJavelinMasterRank1LongDesc,,,,,"Craft quality 2 spears. Spears do 10% more damage and have 10% more range when thrown.","Crea lanzas de calidad 2. Las lanzas causan un 10% más de daño y tienen un 10% más de alcance cuando son lanzadas.",,
perkJavelinMasterRank5LongDesc,,,,,"Craft quality 6 spears. Spears do 50% more damage and have 50% more range.","Crea lanzas de calidad 6. Las lanzas causan un 50% más de daño y tienen un 50% más de alcance.",,
perkLockPickingRank1LongDesc,,,,,"You can pick locks 20% faster and have a 10% lower chance to break lockpicks.","Puedes forzar cerraduras un 20% más rapido y tener 10% menos de posibilidades de romper ganzuas.",,
perkSalvageOperationsRank1LongDesc,,,,,"Craft quality 2 salvage tools. Deal 10% more damage, harvest 20% faster and gains 20% more resources with a wrench, ratchet or impact driver.","Fabrica herramientas de desguace de calidad 2. Inflige un 10% más de daño, apunta un 20% más rapido y obtiene 20% más de recursos con herramientas de desguace como llave inglesa, trinquete o atornillador de impacto.",,
perkSalvageOperationsRank5LongDesc,,,,,"Craft quality 6 salvage tools. Deal 50% more damage, harvest 100% faster and gains 100% more resources with a wrench, ratchet or impact driver.","Fabrica herramientas de desguace de calidad 6. Inflige un 50% más de daño, apunta un 100% más rapido y obtiene 100% más de recursos con herramientas de desguace como llave inglesa, trinquete o atornillador de impacto.",,
perkBoomstickRank1LongDesc,,,,,"Craft quality 2 Shotguns. Deal 10% more damage, 10% faster fire rate, and 10% faster reload.\nStun enemies for 6 seconds.","Fabrica escopetas de calidad 2. Inflige un 10% más de daño. un 10% más de veocidad de disparo y recarga un 10% mas rapido. Aturde enemigos durante 6 segundos.\nAumenta las posibilidades de desmembramiento en un 5%.",,
perkBoomstickRank5LongDesc,,,,,"Craft quality 6 Shotguns. Deal 50% more damage, 50% faster fire rate, and a 30% faster reload.\nLegs shots cripple opponents.","Fabrica escopetas de calidad 6. Inflige un 50% más de daño. un 50% más de velocidad de disparo y recarga un 30%.\nLos disparos a las piernas paralizan a los enemigos.",,
perkPummelPeteRank1LongDesc,,,,,"Craft quality 2 clubs. Deal 10% more damage and attacks do 40% more damage to stunned enemies. Power attacks have a 60% chance to knock foes back down.","Fabrica palos de calidad 2. Inflige un 10% más de daño y los ataques infligen un 40% más de daño a enemigos aturdidos. Los ataques poderosos tienen un 60% de posibilidades de derribar a los enemigos.",,
perkPummelPeteRank5LongDesc,,,,,"Craft quality 6 clubs. Deal 50% more damage, attacks do 200% more damage to stunned enemies and power attacks have a 100% chance to knock foes back down.\n3 successive hits in a short time causes the last blow to do 100% extra damage.","Fabrica palos de calidad 6. Inflige un 50% más de daño, los ataques infligen un 200% más de daño a enemigos aturdidos y los ataques poderosos tienen un 100% de posibilidades de derribar a los enemigos.\n3 golpes sucesivos en poco tiempo hacen que el último golpe provoque un daño extra del 100%. ",,
perkSkullCrusherRank1LongDesc,,,,,"Craft quality 2 sledgehammers. Deal 10% more damage. 15% chance to knock down enemies with power attacks.","Fabrica mazos de calidad 2. Inflige un 10% más de daño. Los ataques poderosos tienen un 15% de posibilidades de derribar a los enemigos.",,
perkSkullCrusherRank5LongDesc,,,,,"Craft quality 6 sledgehammers. Deal 50% more damage. Power attacks have a 75% chance to knock down enemies and a 50% chance to knock down nearby foes.","Fabrica mazos de calidad 6. Inflige un 50% más de daño. Los ataques poderosos tienen un 75% de posibilidades de derribar a los enemigos, y un 50% de posibilidades de derribar enemigos cercanos.",,
